regionNow	mcHistory	mcNow	species	usda_code	family	nonnative	exclude	excludeReason	nameChangeDate
1	0	0	Arnoglossum plantagineum	ARPL4	Asteraceae	0			
1	0	0	Aralia racemosa	ARRA	Araliaceae	0			
1	1	1	Arnoglossum reniforme	ARRE6	Asteraceae	0			
1	0	0	Armoracia rusticana	ARRU4	Brassicaceae	1			
1	1	1	Arenaria serpyllifolia	ARSE2	Caryophyllaceae	1			
1	1	1	Aristolochia serpentaria	ARSE3	Aristolochiaceae	0			
1	0	0	Arabis shortii	ARSH2	Brassicaceae	0			
1	0	1	Aralia spinosa	ARSP2	Araliaceae	0			
1	0	0	Aristolochia tomentosa	ARTO3	Aristolochiaceae	0			
1	1	1	Arisaema triphyllum	ARTR	Araceae	0			
1	0	1	Artemisia vulgaris	ARVU	Asteraceae	1			
1	1	1	Asarum canadense	ASCA	Aristolochiaceae	0			
1	1	0	Asclepias exaltata	ASEX	Apocynaceae	0			
1	0	0	Asclepias hirtella	ASHI	Apocynaceae	0			
1	1	1	Asclepias incarnata	ASIN	Apocynaceae	0			
1	1	1	Asparagus officinalis	ASOF	Asparagaceae	1			
1	1	1	Asplenium platyneuron	ASPL	Aspleniaceae	0			
1	0	0	Asclepias quadrifolia	ASQU	Apocynaceae	0			
1	0	0	Asplenium rhizophyllum	ASRH2	Aspleniaceae	0			
1	0	0	Asclepias sullivantii	ASSU3	Apocynaceae	0			
1	1	1	Asclepias syriaca	ASSY	Apocynaceae	0			
1	1	1	Asimina triloba	ASTR	Annonaceae	0			
1	0	1	Asclepias tuberosa	ASTU	Apocynaceae	0			
1	1	1	Asclepias verticillata	ASVE	Apocynaceae	0			
1	0	0	Athyrium filix-femina	ATFI	Dryopteridaceae	0			
1	1	0	Atriplex patula	ATPA4	Amaranthaceae	0			
1	0	0	Atriplex prostrata	ATPR	Amaranthaceae	1			
1	0	0	Azolla caroliniana	AZCA	Azollaceae	0			
1	0	0	Baptisia alba	BAAL	Fabaceae	0			
1	0	0	Bartonia paniculata	BAPA2	Gentianaceae	0			
1	0	1	Barbarea verna	BAVE	Brassicaceae	1			
1	1	1	Barbarea vulgaris	BAVU	Brassicaceae	1			
1	0	0	Belamcanda chinensis	BECH	Iridaceae	1			
1	0	0	Betula nigra	BENI	Betulaceae	0			
1	0	1	Betula papyrifera	BEPA	Betulaceae	0			
1	0	1	Berberis thunbergii	BETH	Berberidaceae	1			
1	0	0	Bidens aristosa	BIAR	Asteraceae	0			
1	1	1	Bidens bipinnata	BIBI7	Asteraceae	0			
1	1	1	Bidens cernua	BICE	Asteraceae	0			
1	1	1	Bidens coronata	BICO	Asteraceae	0			
1	0	0	Bidens connata	BICO5	Asteraceae	0			
1	1	1	Bidens frondosa	BIFR	Asteraceae	0			
1	0	0	Bidens tripartita	BITR	Asteraceae	1			
1	1	1	Bidens vulgata	BIVU	Asteraceae	0			
1	0	1	Blephilia ciliata	BLCI	Lamiaceae	0			
1	1	1	Blephilia hirsuta	BLHI	Lamiaceae	0			
1	0	0	Boltonia asteroides	BOAS	Asteraceae	0			
1	1	1	Boehmeria cylindrica	BOCY	Urticaceae	0			
1	0	1	Botrychium dissectum	BODI2	Ophioglossaceae	0			
1	1	1	Botrychium virginianum	BOVI	Ophioglossaceae	0			
1	1	0	Bromus arvensis	BRAR5	Poaceae	1			
1	1	1	Brachyelytrum erectum	BRER2	Poaceae	0			
1	1	1	Bromus inermis	BRIN2	Poaceae	1			
1	0	0	Brassica juncea	BRJU	Brassicaceae	1			
1	0	0	Bromus kalmii	BRKA2	Poaceae	0			
1	1	0	Bromus latiglumis	BRLA4	Poaceae	0			
1	1	1	Brassica nigra	BRNI	Brassicaceae	1			
1	0	1	Brassica rapa	BRRA	Brassicaceae	1			
1	1	0	Bromus racemosus	BRRA2	Poaceae	1			
1	1	0	Bromus secalinus	BRSE	Poaceae	1			
1	1	1	Bromus tectorum	BRTE	Poaceae	1			
1	0	1	Buglossoides arvensis	BUAR3	Boraginaceae	1			
1	1	0	Carex albursina	CAAL11	Cyperaceae	0			
1	1	0	Carex albicans	CAAL25	Cyperaceae	0			
1	1	1	Campanula americana	CAAM18	Campanulaceae	0			
1	1	1	Carex amphibola	CAAM8	Cyperaceae	0			
1	0	0	Campanula aparinoides	CAAP2	Campanulaceae	0			
1	0	0	Carex atherodes	CAAT2	Cyperaceae	0			
1	0	0	Carex atlantica	CAAT4	Cyperaceae	0			
1	0	0	Carex bicknellii	CABI3	Cyperaceae	0			
1	0	1	Catalpa bignonioides	CABI8	Bignoniaceae	1			
1	1	1	Carex blanda	CABL	Cyperaceae	0			
1	1	0	Carex brevior	CABR10	Cyperaceae	0			
1	1	0	Carex bromoides	CABR14	Cyperaceae	0			
1	1	1	Capsella bursa-pastoris	CABU2	Brassicaceae	1			
1	1	1	Cardamine bulbosa	CABU3	Brassicaceae	0			
1	0	0	Carex buxbaumii	CABU6	Cyperaceae	0			
1	1	0	Carex careyana	CACA14	Cyperaceae	0			
1	1	1	Carpinus caroliniana	CACA18	Betulaceae	0			
1	1	0	Calamagrostis canadensis	CACA4	Poaceae	0			
