,seqOrSplice,spliceRule,spliceTaxa
Carex_bicknellii,seq,,
Carex_blanda,seq,,
Carex_brevior,seq,,
Carex_bromoides,seq,,
Carex_buxbaumii,seq,,
Carex_careyana,** SPLICE **,mrca,Carex_digitalis|Carex_grisea
Carex_cephalophora,seq,,
Carex_communis,seq,,
Carex_comosa,seq,,
Carex_conjuncta,seq,,
Carex_crinita,seq,,
Carex_cristatella,seq,,
Carex_davisii,** SPLICE **,sister,Carex_gracillima
Carex_digitalis,seq,,
Carex_echinata,seq,,
Carex_emoryi,** SPLICE **,sister,Carex_stricta
Carex_festucacea,seq,,
Carex_frankii,** SPLICE **,sister,Carex_squarrosa
Carex_gracilescens,** SPLICE **,mrca,Carex_albursina|Carex_laxiflora
Carex_gracillima,seq,,
Carex_granularis,seq,,
Carex_grayi,seq,,
Carex_grisea,seq,,
Carex_hirsutella,** SPLICE **,sister,Carex_swanii
Carex_hirtifolia,seq,,
Carex_hitchcockiana,seq,,
Carex_hyalinolepis,** SPLICE **,mrca,Carex_intumescens|Carex_trichocarpa
Carex_hystericina,seq,,
Carex_intumescens,seq,,
Carex_jamesii,seq,,
Carex_lacustris,** SPLICE **,mrca,Carex_intumescens|Carex_trichocarpa
Carex_laevivaginata,seq,,
Carex_laxiculmis,** SPLICE **,mrca,Carex_albursina|Carex_laxiflora
Carex_laxiflora,seq,,
Carex_leavenworthii,seq,,
Carex_leptalea,seq,,
Carex_lupuliformis,** SPLICE **,sister,Carex_lupulina
Carex_lupulina,seq,,
Carex_lurida,seq,,
Carex_meadii,** SPLICE **,mrca,Carex_albursina|Carex_laxiflora
Carex_molesta,seq,,
Carex_muskingumensis,seq,,
Carex_normalis,seq,,
Carex_oligocarpa,seq,,
Carex_pellita,** SPLICE **,sister,Carex_hyalinolepis
Carex_pensylvanica,seq,,
Carex_prairea,seq,,
Carex_radiata,seq,,
Carex_rosea,seq,,
Carex_sartwellii,seq,,
Carex_scoparia,** SPLICE **,sister,Carex_suberecta
Carex_shortiana,seq,,
Carex_sparganioides,seq,,
Carex_squarrosa,seq,,
Carex_sterilis,seq,,
Carex_stipata,seq,,
Carex_stricta,seq,,
Carex_suberecta,seq,,
Carex_swanii,seq,,
Carex_tenera,** SPLICE **,sister,Carex_normalis
Carex_tribuloides,seq,,
Carex_trichocarpa,seq,,
Carex_umbellata,seq,,
Carex_utriculata,** SPLICE **,mrca,Carex_intumescens|Carex_trichocarpa
Carex_vulpinoidea,seq,,
Carex_willdenowii,seq,,
Carex_woodii,** SPLICE **,sister,Carex_meadii
Carpinus_caroliniana,seq,,
Carya_cordiformis,seq,,
Carya_glabra,seq,,
Carya_laciniosa,** SPLICE **,genus,
Carya_ovata,seq,,
Carya_tomentosa,seq,,
Catalpa_bignonioides,seq,,
Catalpa_speciosa,seq,,
Caulophyllum_thalictroides,seq,,
Ceanothus_americanus,seq,,
Celastrus_orbiculatus,seq,,
Celastrus_scandens,seq,,
Celtis_occidentalis,seq,,
Cenchrus_longispinus,** SPLICE **,genus,
Cenchrus_spinifex,** SPLICE **,genus,
Centaurea_stoebe,** SPLICE **,genus,
Cephalanthus_occidentalis,seq,,
Cerastium_fontanum,seq,,
Cerastium_nutans,seq,,
Ceratophyllum_demersum,seq,,
Cercis_canadensis,seq,,
Chaenorhinum_minus,seq,,
Chaerophyllum_procumbens,seq,,
Chaerophyllum_tainturieri,seq,,
Chamaecrista_fasciculata,seq,,
Chasmanthium_latifolium,seq,,
Chelidonium_majus,seq,,
Chelone_glabra,seq,,
Chelone_obliqua,seq,,
Chenopodium_album,seq,,
Chenopodium_glaucum,** SPLICE **,genus,
Chenopodium_murale,seq,,
Chenopodium_simplex,** SPLICE **,genus,
Chenopodium_standleyanum,** SPLICE **,genus,
Chenopodium_urbicum,seq,,
Cichorium_intybus,seq,,
Cicuta_maculata,** SPLICE **,genus,
Cinna_arundinacea,seq,,
Circaea_lutetiana,seq,,
Cirsium_altissimum,** SPLICE **,genus,
Cirsium_arvense,seq,,
Cirsium_discolor,seq,,
Cirsium_muticum,seq,,
Cirsium_vulgare,seq,,
Claytonia_virginica,seq,,
Clematis_viorna,** SPLICE **,genus,
Clematis_virginiana,seq,,
Collinsia_verna,seq,,
Collinsonia_canadensis,seq,,
Comandra_umbellata,seq,,
Comarum_palustre,seq,,
Commelina_communis,seq,,
Conium_maculatum,seq,,
Conoclinium_coelestinum,seq,,
Conopholis_americana,seq,,
Conringia_orientalis,seq,,
Convallaria_majalis,seq,,
Convolvulus_arvensis,seq,,
Conyza_canadensis,seq,,
Corallorhiza_odontorhiza,seq,,
Coreopsis_lanceolata,seq,,
Coreopsis_tripteris,seq,,
Cornus_alternifolia,seq,,
Cornus_amomum,seq,,
Cornus_drummondii,seq,,
Cornus_florida,seq,,
Cornus_obliqua,seq,,
Cornus_racemosa,seq,,
Cornus_sericea,seq,,
Corydalis_flavula,seq,,
Corylus_americana,seq,,
Cotinus_coggygria,seq,,
Crataegus_calpodendron,seq,,
Crataegus_crus-galli,** SPLICE **,genus,
