,seqOrSplice,spliceRule,spliceTaxa
Phacelia_bipinnatifida,** SPLICE **,genus,
Phacelia_purshii,** SPLICE **,genus,
Phalaris_arundinacea,seq,,
Phegopteris_hexagonoptera,seq,,
Phleum_pratense,seq,,
Phlox_bifida,** SPLICE **,genus,
Phlox_divaricata,seq,,
Phlox_glaberrima,seq,,
Phlox_maculata,** SPLICE **,genus,
Phlox_paniculata,seq,,
Phlox_pilosa,seq,,
Phlox_subulata,** SPLICE **,genus,
Photinia_floribunda,** SPLICE **,genus,
Photinia_melanocarpa,seq,,
Phragmites_australis,seq,,
Phryma_leptostachya,seq,,
Phyla_lanceolata,seq,,
Physalis_heterophylla,seq,,
Physalis_longifolia,seq,,
Physocarpus_opulifolius,** SPLICE **,genus,
Physostegia_virginiana,seq,,
Phytolacca_americana,seq,,
Pilea_pumila,seq,,
Planodes_virginicum,** SPLICE **,genus,
Plantago_aristata,seq,,
Plantago_cordata,** SPLICE **,genus,
Plantago_lanceolata,seq,,
Plantago_major,seq,,
Plantago_rugelii,seq,,
Plantago_virginica,seq,,
Platanthera_leucophaea,** SPLICE **,genus,
Platanthera_peramoena,** SPLICE **,genus,
Platanus_occidentalis,seq,,
Poa_annua,seq,,
Poa_arida,seq,,
Poa_chapmaniana,** SPLICE **,genus,
Poa_compressa,seq,,
Poa_cuspidata,** SPLICE **,genus,
Poa_paludigena,** SPLICE **,genus,
Poa_palustris,seq,,
Poa_pratensis,seq,,
Poa_saltuensis,seq,,
Poa_sylvestris,seq,,
Poa_trivialis,seq,,
Podophyllum_peltatum,seq,,
Polanisia_dodecandra,seq,,
Polemonium_reptans,seq,,
Polygala_polygama,seq,,
Polygala_senega,seq,,
Polygala_verticillata,seq,,
Polygonatum_biflorum,** SPLICE **,genus,
Polygonatum_pubescens,seq,,
Polygonum_amphibium,seq,,
Polygonum_aviculare,seq,,
Polygonum_bellardii,seq,,
Polygonum_caespitosum,** SPLICE **,genus,
Polygonum_convolvulus,** SPLICE **,genus,
Polygonum_cuspidatum,** SPLICE **,genus,
Polygonum_erectum,** SPLICE **,genus,
Polygonum_hydropiper,** SPLICE **,genus,
Polygonum_hydropiperoides,** SPLICE **,genus,
Polygonum_lapathifolium,** SPLICE **,genus,
Polygonum_pensylvanicum,** SPLICE **,genus,
Polygonum_persicaria,** SPLICE **,genus,
Polygonum_punctatum,** SPLICE **,genus,
Polygonum_sagittatum,seq,,
Polygonum_scandens,** SPLICE **,genus,
Polygonum_virginianum,** SPLICE **,genus,
Polymnia_canadensis,seq,,
Polystichum_acrostichoides,seq,,
Pontederia_cordata,seq,,
Populus_deltoides,seq,,
Populus_grandidentata,seq,,
Populus_heterophylla,** SPLICE **,genus,
Populus_tremuloides,seq,,
Portulaca_grandiflora,seq,,
Portulaca_oleracea,seq,,
Potamogeton_foliosus,seq,,
Potamogeton_nodosus,seq,,
Potentilla_norvegica,seq,,
Potentilla_recta,seq,,
Potentilla_simplex,** SPLICE **,genus,
Prenanthes_alba,** SPLICE **,genus,
Prenanthes_altissima,** SPLICE **,genus,
Prenanthes_crepidinea,** SPLICE **,genus,
Prenanthes_racemosa,** SPLICE **,genus,
Prunella_vulgaris,seq,,
Prunus_americana,seq,,
Prunus_angustifolia,seq,,
Prunus_serotina,seq,,
Prunus_virginiana,seq,,
Pseudognaphalium_obtusifolium,** SPLICE **,genus,
Ptelea_trifoliata,seq,,
Pteridium_aquilinum,seq,,
Pycnanthemum_tenuifolium,seq,,
Pycnanthemum_verticillatum,** SPLICE **,genus,
Pycnanthemum_virginianum,seq,,
Quercus_alba,seq,,
Quercus_bicolor,seq,,
Quercus_imbricaria,** SPLICE **,mrca,Quercus_shumardii|Quercus_rubra
Quercus_macrocarpa,seq,,
Quercus_michauxii,seq,,
Quercus_muehlenbergii,** SPLICE **,mrca,Quercus_alba|Quercus_bicolor
Quercus_palustris,seq,,
Quercus_rubra,seq,,
Quercus_shumardii,seq,,
Quercus_velutina,seq,,
Ranunculus_abortivus,seq,,
Ranunculus_acris,seq,,
Ranunculus_ficaria,** SPLICE **,genus,
Ranunculus_flabellaris,** SPLICE **,genus,
Ranunculus_hispidus,seq,,
Ranunculus_longirostris,** SPLICE **,genus,
Ranunculus_micranthus,seq,,
Ranunculus_recurvatus,seq,,
Ranunculus_repens,seq,,
Ratibida_columnifera,seq,,
Ratibida_pinnata,** SPLICE **,genus,
Rhamnus_cathartica,seq,,
Rhamnus_lanceolata,seq,,
Rhodotypos_scandens,seq,,
Rhus_aromatica,seq,,
Rhus_glabra,seq,,
Rhus_typhina,seq,,
Rhynchospora_capillacea,** SPLICE **,genus,
Ribes_americanum,seq,,
Ribes_cynosbati,** SPLICE **,genus,
Ribes_missouriense,seq,,
Robinia_hispida,seq,,
Robinia_pseudoacacia,seq,,
Robinia_viscosa,seq,,
Rorippa_aquatica,seq,,
Rorippa_palustris,seq,,
Rorippa_sessiliflora,** SPLICE **,genus,
Rorippa_sylvestris,seq,,
Rosa_arkansana,seq,,
Rosa_carolina,seq,,
Rosa_multiflora,seq,,
Rosa_palustris,seq,,
Rosa_rubiginosa,** SPLICE **,genus,
Rosa_setigera,seq,,
Rubus_allegheniensis,seq,,
Rubus_hispidus,seq,,
Rubus_idaeus,seq,,
Rubus_laudatus,** SPLICE **,genus,
Rubus_occidentalis,seq,,
Rubus_odoratus,** SPLICE **,genus,
Rubus_pensilvanicus,seq,,
Rudbeckia_fulgida,** SPLICE **,genus,
Rudbeckia_hirta,seq,,
Rudbeckia_laciniata,** SPLICE **,genus,
Rudbeckia_subtomentosa,** SPLICE **,genus,
Rudbeckia_triloba,** SPLICE **,genus,
Ruellia_caroliniensis,seq,,
Ruellia_humilis,seq,,
Ruellia_strepens,seq,,
Rumex_acetosella,seq,,
Rumex_crispus,seq,,
Rumex_obtusifolius,seq,,
Rumex_orbiculatus,** SPLICE **,genus,
Rumex_verticillatus,** SPLICE **,genus,
Sabatia_angularis,seq,,
Sagittaria_brevirostra,** SPLICE **,genus,
Sagittaria_latifolia,seq,,
Sagittaria_rigida,** SPLICE **,genus,
Salix_alba,seq,,
Salix_amygdaloides,seq,,
Salix_cordata,seq,,
Salix_discolor,seq,,
Salix_eriocephala,seq,,
Salix_humilis,** SPLICE **,genus,
Salix_interior,seq,,
Salix_nigra,** SPLICE **,genus,
Salix_petiolaris,** SPLICE **,genus,
Salix_sericea,seq,,
Salsola_tragus,seq,,
Salvia_lyrata,seq,,
Salvia_xsylvestris,** SPLICE **,genus,
Sambucus_nigra,seq,,
Samolus_valerandi,seq,,
Sanguinaria_canadensis,seq,,
Sanguisorba_canadensis,seq,,
Sanicula_canadensis,seq,,
Sanicula_marilandica,** SPLICE **,genus,
Sanicula_odorata,seq,,
Sanicula_trifoliata,** SPLICE **,genus,
Saponaria_officinalis,seq,,
Sassafras_albidum,seq,,
Saururus_cernuus,seq,,
Saxifraga_pensylvanica,** SPLICE **,genus,
Schizachyrium_scoparium,seq,,
Schoenoplectus_acutus,** SPLICE **,genus,
Schoenoplectus_pungens,seq,,
Schoenoplectus_tabernaemontani,seq,,
Scilla_siberica,** SPLICE **,genus,
Scirpus_atrovirens,** SPLICE **,genus,
Scirpus_cyperinus,seq,,
Scirpus_lineatus,** SPLICE **,genus,
Scirpus_pendulus,seq,,
Scleria_triglomerata,** SPLICE **,genus,
Scleria_verticillata,** SPLICE **,genus,
Sclerochloa_dura,seq,,
Scrophularia_marilandica,seq,,
Scutellaria_galericulata,seq,,
Scutellaria_incana,** SPLICE **,genus,
Scutellaria_lateriflora,** SPLICE **,genus,
Scutellaria_nervosa,** SPLICE **,genus,
Scutellaria_ovata,** SPLICE **,genus,
Scutellaria_parvula,** SPLICE **,genus,
Securigera_varia,seq,,
Sedum_sarmentosum,seq,,
Sedum_ternatum,seq,,
Selaginella_apoda,** SPLICE **,genus,
Senecio_vulgaris,seq,,
Senna_hebecarpa,** SPLICE **,genus,
Senna_marilandica,** SPLICE **,genus,
Setaria_faberi,seq,,
Setaria_italica,seq,,
Setaria_pumila,seq,,
Setaria_verticillata,seq,,
Setaria_viridis,seq,,
Sicyos_angulatus,seq,,
Sida_spinosa,seq,,
Silene_antirrhina,seq,,
Silene_csereii,** SPLICE **,genus,
Silene_latifolia,seq,,
Silene_nivea,seq,,
Silene_stellata,seq,,
Silene_virginica,seq,,
Silene_vulgaris,seq,,
Silphium_laciniatum,** SPLICE **,genus,
Silphium_perfoliatum,seq,,
Silphium_terebinthinaceum,** SPLICE **,genus,
Sinapis_arvensis,seq,,
Sisymbrium_altissimum,seq,,
Sisymbrium_officinale,seq,,
Sisyrinchium_albidum,** SPLICE **,genus,
Sisyrinchium_angustifolium,seq,,
Sium_suave,seq,,
Smilax_ecirrata,** SPLICE **,genus,
Smilax_glauca,seq,,
Smilax_herbacea,seq,,
Smilax_lasioneura,seq,,
Smilax_rotundifolia,seq,,
Smilax_tamnoides,** SPLICE **,genus,
Solanum_carolinense,seq,,
Solanum_dulcamara,seq,,
Solanum_ptychanthum,seq,,
Solanum_rostratum,seq,,
Solidago_altissima,** SPLICE **,genus,
Solidago_caesia,seq,,
Solidago_canadensis,seq,,
Solidago_flexicaulis,seq,,
Solidago_gigantea,seq,,
Solidago_juncea,seq,,
Solidago_nemoralis,seq,,
Solidago_ohioense,** SPLICE **,genus,
Solidago_patula,seq,,
Solidago_riddellii,seq,,
Solidago_rigidum,** SPLICE **,genus,
Solidago_rugosa,seq,,
Solidago_uliginosa,seq,,
Solidago_ulmifolia,seq,,
Sonchus_arvensis,seq,,
Sonchus_asper,seq,,
Sonchus_oleraceus,seq,,
Sorghastrum_nutans,seq,,
Sorghum_bicolor,seq,,
Sorghum_halepense,seq,,
Sparganium_angustifolium,seq,,
Sparganium_eurycarpum,seq,,
Spartina_pectinata,seq,,
Sphenopholis_intermedia,seq,,
Sphenopholis_nitida,** SPLICE **,genus,
Sphenopholis_obtusata,seq,,
Spiraea_alba,seq,,
Spiranthes_cernua,seq,,
Spiranthes_lucida,** SPLICE **,genus,
Spiranthes_ovalis,** SPLICE **,genus,
Spirodela_polyrrhiza,** SPLICE **,genus,
Sporobolus_compositus,** SPLICE **,genus,
Sporobolus_cryptandrus,seq,,
Sporobolus_neglectus,** SPLICE **,genus,
Sporobolus_vaginiflorus,seq,,
Stachys_aspera,** SPLICE **,genus,
Stachys_byzantina,seq,,
Stachys_palustris,seq,,
Stachys_pilosa,seq,,
Stachys_tenuifolia,** SPLICE **,genus,
Staphylea_trifolia,seq,,
Stellaria_media,seq,,
Stellaria_pubera,seq,,
Strophostyles_helvola,seq,,
Stylophorum_diphyllum,seq,,
Symphoricarpos_orbiculatus,seq,,
Symphyotrichum_cordifolium,seq,,
Symphyotrichum_drummondii,seq,,
Symphyotrichum_ericoides,seq,,
Symphyotrichum_laeve,** SPLICE **,genus,
Symphyotrichum_lanceolatum,seq,,
Symphyotrichum_lateriflorum,** SPLICE **,genus,
Symphyotrichum_novae-angliae,** SPLICE **,genus,
Symphyotrichum_oolentangiense,** SPLICE **,genus,
Symphyotrichum_pilosum,seq,,
Symphyotrichum_praealtum,** SPLICE **,genus,
Symphyotrichum_puniceum,seq,,
Symphyotrichum_shortii,seq,,
Symphyotrichum_xamethystinum,** SPLICE **,genus,
Symplocarpus_foetidus,seq,,
Synandra_hispidula,seq,,
Taenidia_integerrima,seq,,
Tanacetum_balsamita,** SPLICE **,genus,
Tanacetum_vulgare,seq,,
Taraxacum_officinale,seq,,
Teucrium_canadense,seq,,
Thalictrum_dasycarpum,seq,,
Thalictrum_dioicum,seq,,
Thalictrum_revolutum,seq,,
Thalictrum_thalictroides,seq,,
Thaspium_barbinode,seq,,
Thaspium_trifoliatum,seq,,
Thelypteris_palustris,seq,,
Thlaspi_arvense,seq,,
Tilia_americana,seq,,
Toxicodendron_radicans,seq,,
Toxicodendron_vernix,** SPLICE **,genus,
Tradescantia_ohiensis,seq,,
Tradescantia_subaspera,** SPLICE **,genus,
Tradescantia_virginiana,** SPLICE **,genus,
Tragopogon_dubius,seq,,
Tragopogon_porrifolius,seq,,
Tragopogon_pratensis,seq,,
Triadenum_fraseri,seq,,
Trichostema_brachiatum,seq,,
Tridens_flavus,seq,,
Trientalis_borealis,seq,,
Trifolium_campestre,seq,,
Trifolium_dubium,seq,,
Trifolium_hybridum,seq,,
Trifolium_pratense,seq,,
Trifolium_repens,seq,,
Trillium_erectum,seq,,
Trillium_flexipes,** SPLICE **,genus,
Trillium_nivale,** SPLICE **,genus,
Trillium_recurvatum,seq,,
Trillium_sessile,seq,,
Triodanis_perfoliata,seq,,
Triosteum_aurantiacum,seq,,
Triosteum_perfoliatum,seq,,
Triphora_trianthophora,seq,,
Typha_angustifolia,seq,,
Typha_latifolia,seq,,
Ulmus_americana,seq,,
Ulmus_pumila,seq,,
Ulmus_rubra,seq,,
Ulmus_thomasii,** SPLICE **,genus,
Urtica_dioica,seq,,
Utricularia_macrorhiza,** SPLICE **,genus,
Uvularia_grandiflora,seq,,
Valeriana_pauciflora,seq,,
Valerianella_chenopodiifolia,** SPLICE **,genus,
Valerianella_radiata,seq,,
Valerianella_umbilicata,seq,,
Veratrum_virginicum,seq,,
Veratrum_woodii,** SPLICE **,genus,
Verbascum_blattaria,** SPLICE **,genus,
Verbascum_thapsus,seq,,
Verbena_bracteata,seq,,
Verbena_hastata,seq,,
Verbena_simplex,** SPLICE **,genus,
Verbena_stricta,** SPLICE **,genus,
Verbena_urticifolia,seq,,
Verbena_xengelmannii,** SPLICE **,genus,
Verbena_xperriana,** SPLICE **,genus,
Verbesina_alternifolia,** SPLICE **,genus,
Vernonia_fasciculata,seq,,
Vernonia_gigantea,seq,,
Veronica_anagallis-aquatica,** SPLICE **,genus,
Veronica_arvensis,seq,,
Veronica_officinalis,seq,,
Veronica_peregrina,seq,,
Veronica_persica,seq,,
Veronica_polita,seq,,
Veronica_scutellata,seq,,
Veronica_serpyllifolia,seq,,
Veronicastrum_virginicum,seq,,
Viburnum_acerifolium,seq,,
Viburnum_dentatum,seq,,
Viburnum_lantana,seq,,
Viburnum_lentago,seq,,
Viburnum_opulus,seq,,
Viburnum_prunifolium,seq,,
Viburnum_rafinesquianum,seq,,
Vicia_villosa,seq,,
Vinca_minor,seq,,
Viola_affinis,** SPLICE **,genus,
Viola_canadensis,seq,,
Viola_cucullata,** SPLICE **,genus,
Viola_macloskeyi,seq,,
Viola_pubescens,seq,,
Viola_sagittata,seq,,
Viola_sororia,** SPLICE **,genus,
Viola_striata,** SPLICE **,genus,
Viola_triloba,** SPLICE **,genus,
Vitis_aestivalis,seq,,
Vitis_cinerea,** SPLICE **,genus,
Vitis_riparia,seq,,
Vitis_vulpina,seq,,
Woodsia_obtusa,** SPLICE **,mrca,Dryopteris_carthusiana|Thelypteris_palustris
Xanthium_strumarium,seq,,
Yucca_flaccida,** SPLICE **,genus,
Zannichellia_palustris,seq,,
Zanthoxylum_americanum,seq,,
Zea_mays,seq,,
Zizia_aurea,seq,,
