region	MC Hist	MC Now	Species	Family	Status	Growth form	Life form	Life Span	Clonality 	Spinescence	Leaf Periodicity 1=evergreen 2=deciduous 3=semi-evergreen	Dispersal mode	Pollination System	FOREST	WOODLAND	SCRUBLAND	DWARF SCRUB	NATURAL GRASSLAND	SEMI-NATURAL GRASSLAND	COASTAL DUNES	H2O FRESH	H2O SALINE	DESERT	RIPARIAN	ANTHROPOGNEIC	AGRICULTURAL	
1	0	0	Bidens aristosa	Asteraceae	0	1	5	"1,2"	1	0	"1,2"	4	1		1						1						2
1	1	1	Bidens bipinnata	Asteraceae	0	1	5	1	1	0	2	4	1						1						1		2
1	1	1	Bidens cernua	Asteraceae	0	1	5	1	1	0	2	4	1						1		1						2
1	0	0	Bidens connata	Asteraceae	0	1	5	1	1	0	2	4	1								1				1		2
1	1	1	Bidens coronata	Asteraceae	0	1	5	"1,2"	1	0	2	4	1								1						1
1	1	1	Bidens frondosa	Asteraceae	0	1	5	1	1	0	2	4	1						1						1		2
1	0	0	Bidens tripartita	Asteraceae	1	1	5	1	1	0	2	4	1						1						1		2
1	1	1	Bidens vulgata	Asteraceae	0	1	5	1	1	0	2	4	1						1						1		2
1	0	1	Blephilia ciliata	Lamiaceae	0	1	3	3	2	0	2	"1,2"	1	1	1												2
1	1	1	Blephilia hirsuta	Lamiaceae	0	1	3	3	2	0	2	"1,2"	1	1	1												2
1	1	1	Boehmeria cylindrica	Urticaceae	0	1	4	3	3	0	2	1	"0,1"	1	1												2
1	0	0	Boltonia asteroides	Asteraceae	0	1	3	3	3	0	2	6	1								1						1
1	0	1	Botrychium dissectum	Ophioglossaceae	0	2	3	3	1	0	2	2	0			1			1								2
1	1	1	Botrychium virginianum	Ophioglossaceae	0	2	3	3	1	0	2	2	0		1				1								2
1	1	1	Brachyelytrum erectum	Poaceae	0	3	3	3	2	0	2	1	0	1	1												2
1	0	0	Brassica juncea	Brassicaceae	1	1	5	"1,3"	1	0	2	1	1						1						1		2
1	1	1	Brassica nigra	Brassicaceae	1	1	5	1	1	0	2	1	1						1						1		2
1	0	1	Brassica rapa	Brassicaceae	1	1	5	"1,2"	1	0	2	1	1						1						1		2
1	1	0	Bromus arvensis	Poaceae	1	3	5	1	1	0	2	4	0					1							1	1	3
1	1	1	Bromus inermis	Poaceae	1	3	4	3	3	0	2	2	0						1						1		2
1	0	0	Bromus kalmii	Poaceae	0	3	3	3	1	0	2	2	0	1	1				1								3
1	1	0	Bromus latiglumis	Poaceae	0	3	3	3	1	0	2	2	0	1	1												2
1	1	0	Bromus racemosus	Poaceae	1	3	5	1	1	0	2	2	0						1						1		2
1	1	0	Bromus secalinus	Poaceae	1	3	5	1	1	0	2	"2,3"	0						1						1		2
1	1	1	Bromus tectorum	Poaceae	1	3	5	1	1	0	2	3	0						1						1		2
1	0	1	Buglossoides arvensis	Boraginaceae	1	1	5	1	1	0	2	1	1						1						1		2
1	1	0	Calamagrostis canadensis	Poaceae	0	3	3	3	3	0	2	2	0						1		1						2
1	0	0	Calopogon tuberosus	Orchidaceae	0	1	4	3	3	0	2	2	1		1						1						2
1	1	1	Caltha palustris	Ranunculaceae	0	1	3	3	1	0	2	1	1		1						1						2
1	0	1	Calystegia hederacea	Convolvulaceae	1	8	3	3	3	0	2	1	1					1	1						1	1	4
1	0	1	Calystegia pellita	Convolvulaceae	1	8	3	3	3	0	2	1	1						1						1	1	3
1	1	1	Calystegia sepium	Convolvulaceae	0	8	3	3	3	0	2	1	1	1		1			1		1	1		1			6
1	0	1	Calystegia silvatica	Convolvulaceae	0	"1, 8"	"1, ?"	3	"                      1,2 "	0	2	"1, ?"	1	1											1	1	3
1	1	1	Camassia scilloides	Agavaceae	0	1	4	3	3	0	2	1	1		1			1									2
1	1	0	Camelina microcarpa	Brassicaceae	1	1	5	"1,2"	1	0	2	1	1						1						1		2
1	1	1	Campanula americana	Campanulaceae	0	1	3	3	1	0	2	1	1		1												1
1	0	0	Campanula aparinoides	Campanulaceae	0	1	3	3	2	0	2	1	1						1		1						2
1	1	1	Campsis radicans	Bignoniaceae	1	8	1	3	1	0	2	2	1		1	1									1		3
1	1	0	Cannabis sativa	Cannabaceae	1	1	5	1	1	0	2	1	0						1						1		2
1	1	1	Capsella bursa-pastoris	Brassicaceae	1	1	5	1	1	0	2	1	1						1						1		2
1	1	1	Cardamine bulbosa	Brassicaceae	0	1	4	3	3	0	2	1	1	1	1						1						3
1	1	1	Cardamine concatenata	Brassicaceae	0	1	4	3	3	0	2	1	1	1	1												2
1	1	1	Cardamine douglassii	Brassicaceae	0	1	4	3	3	0	2	1	1	1	1												2
1	0	1	Cardamine hirsuta	Brassicaceae	1	1	5	1	1	0	2	1	1						1						1		2
1	1	0	Cardamine pensylvanica	Brassicaceae	0	1	3	"1,2,3"	1	0	2	1	1		1						1						2
1	1	0	Cardaria draba	Brassicaceae	1	1	3	3	3	0	2	1	1						1						1	1	3
1	1	1	Carduus nutans	Asteraceae	1	1	5	"2,3"	1	1	2	4	1						1						1		2
1	1	0	Carex albicans	Cyperaceae	0	3	3	3	1	0	2	"1,2"	0		1												1
1	1	0	Carex albursina	Cyperaceae	0	3	3	3	1	0	2	1	0	1	1												2
1	1	1	Carex amphibola	Cyperaceae	0	3	3	3	1	0	2	"1,2"	0	1	1				1								3
1	0	0	Carex atherodes	Cyperaceae	0	3	4	3	3	0	2	"1,2"	0								1						1
1	0	0	Carex atlantica	Cyperaceae	0	3	3	3	1	0	2	"1,2"	0	1	1						1						3
1	0	0	Carex bicknellii	Cyperaceae	0	3	4	3	3	0	2	2	0		1				1								2
1	1	1	Carex blanda	Cyperaceae	0	3	3	3	1	0	3	2	0		1												1
1	1	0	Carex brevior	Cyperaceae	0	3	3	3	1	0	2	2	0						1								1
1	1	0	Carex bromoides	Cyperaceae	0	3	3	3	1	0	2	"1,2"	0	1	1						1						3
1	0	0	Carex buxbaumii	Cyperaceae	0	3	4	3	3	0	2	"1,2"	0								1						1
1	1	0	Carex careyana	Cyperaceae	0	3	3	3	1	0	2	1	0		1												1
1	1	1	Carex cephalophora	Cyperaceae	0	3	4	3	3	0	2	2	0	1	1												2
1	1	1	Carex communis	Cyperaceae	0	3	3	3	1	0	2	1	0	1	1												2
1	0	0	Carex comosa	Cyperaceae	0	3	3	3	3	0	2	"1,2"	0		1						1			1			3
1	1	1	Carex conjuncta	Cyperaceae	0	3	3	3	1	0	2	"1,2"	0		1												1
1	1	0	Carex crinita	Cyperaceae	0	3	3	3	1	0	2	"1,2"	0		1						1						2
1	1	1	Carex cristatella	Cyperaceae	0	3	3	3	1	0	2	2	0		1						1						2
1	1	1	Carex davisii	Cyperaceae	0	3	4	3	3	0	2	6	0	1	1												2
1	0	0	Carex digitalis	Cyperaceae	0	3	3	3	1	0	2	"1,2"	0		1												1
1	0	0	Carex echinata	Cyperaceae	0	3	3	3	3	0	2	"1,2"	0	1	1				1		1			1			5
1	1	1	Carex emoryi	Cyperaceae	0	3	4	3	3	0	2	"1,2"	0											1			1
1	1	0	Carex festucacea	Cyperaceae	0	3	3	3	1	0	2	"1,2"	0		1						1						2
1	1	1	Carex frankii	Cyperaceae	0	3	4	3	3	0	2	"1,2"	0		1												1
1	1	0	Carex gracilescens	Cyperaceae	0	3	3	3	1	0	2	"1,2"	0		1										1		2
1	0	0	Carex gracillima	Cyperaceae	0	3	4	3	3	0	2	"1,2"	0	1	1												2
1	1	1	Carex granularis	Cyperaceae	0	3	4	3	3	0	2	2	0								1						1
1	1	1	Carex grayi	Cyperaceae	0	3	3	3	2	0	2	"1,2"	0		1												1
